序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
64,301368,丰立智能,0.14,504688742.1,17.55511958,3.0016,16795344.52,-30.28,-82.2982,8.132256024,1.73,0.360581978,14.90395282,通用设备,2025/4/24
65,301353,普莱得,0.84,871981236.1,22.27217731,-4.1846,62999663.25,-19.87,-50.8137,16.62402847,4.99,0.458298915,28.46925812,通用设备,2025/4/24
66,301323,新莱福,1.4,886392621.5,14.93892445,-0.9428,145245052,5.17,16.214,19.92024037,7.13,1.303982253,37.38179293,塑料制品,2025/4/24
67,301303,真兰仪表,0.78,1501219448,11.62903153,11.5596,320677816.7,2.16,-14.495,7.969859043,10.09,0.404735975,40.96892932,仪器仪表,2025/4/24
68,301295,美硕科技,0.27,633060381.7,18.77187919,31.1031,27297868.94,-37.08,-93.2331,9.502562186,2.85,-0.557590356,17.58271009,电网设备,2025/4/24
69,301292,海科新源,-1.2,3614522167,7.492411379,43.4025,-267007445,-944.35,48.2297,12.79584364,-8.93,0.708530771,0.004175466,化学制品,2025/4/24
70,301291,明阳电气,2.12,6444072813,29.62104721,45.5238,662518862.8,33.8,19.8115,14.96470821,14.86,1.234783753,22.28597561,电网设备,2025/4/24
71,301285,鸿日达,-0.04,830331289.7,15.21578535,-26.9962,-7572834.8,-124.43,-375.3202,4.961534348,-0.73,0.184657166,19.00729463,电子元件,2025/4/24
72,301270,汉仪股份,0.0895,190717373.3,-12.17102465,13.5053,8808427.3,-78.74,3.3639,10.12972039,0.84,0.246612681,80.86436606,互联网服务,2025/4/24
73,301230,泓博医药,0.12,544471262,11.18077967,21.8326,17083154.83,-54.59,351.0009,7.398256142,1.59,0.579307232,23.86428545,生物制品,2025/4/24
74,301228,实朴检测,-0.56,442106672.3,18.2634772,24.9005,-65790026.68,29.67,-146.1928,6.006533537,-8.67,0.202930651,27.54888561,专业服务,2025/4/24
75,301223,中荣股份,0.74,2781877723,7.304183233,19.1221,143603782.1,-29.6,-19.9768,15.15323201,4.96,1.380398671,18.31246775,包装材料,2025/4/24
76,301211,亨迪药业,0.32,445864331.3,-32.75310232,21.4313,91547379.78,-48.02,173.8746,8.019751851,4,0.333587649,28.84078658,化学制药,2025/4/24
77,301203,国泰环保,1.65,315609400.6,1.980646299,4.9624,131923475,-4.8,0.1441,18.0891947,9.22,1.344342486,54.48675867,环保行业,2025/4/24
78,301182,凯旺科技,-0.98,596087604.8,9.121763754,6.097,-93452916.59,-64.47,-211.8896,8.484941502,-10.84,-0.67937363,1.148719503,消费电子,2025/4/24
79,301150,中一科技,-0.47,4785869360,40.12595594,-2.1751,-84195938.99,-258.56,2.265,19.39093181,-2.29,0.78967649,3.005918896,电池,2025/4/24
80,301141,中科磁业,0.13,546404129.3,12.75420422,18.739,16560773.82,-65.59,14.4566,10.1446556,1.31,-0.001823924,12.37683067,小金属,2025/4/24
81,301129,瑞纳智能,0.57,427978229.7,-0.833966558,1190.7994,76733231.95,14.26,627.1233,12.76094176,4.51,0.214607736,59.69288179,仪器仪表,2025/4/24
82,301123,奕东电子,-0.1713,1710425583,16.36771566,9.4428,-40014434.09,-1967.7,-774.4149,12.21128851,-1.37,0.372647941,12.95233369,消费电子,2025/4/24
83,301117,佳缘科技,0.12,336799849.3,48.11369725,270.3623,11445371.4,313.82,214.2941,14.24950302,0.87,-0.5509334,43.15197463,软件开发,2025/4/24
84,301112,信邦智能,0.04,665554227.2,33.59426557,-15.0022,4950745.65,-88.33,-113.9738,10.9955995,0.41,0.044401233,15.0559967,专用设备,2025/4/24
85,301102,兆讯传媒,0.1863,670439073.1,12.25644634,-10.0702,75634282.93,-43.64,-67.9763,7.491913516,2.5,1.082828497,33.67944772,文化传媒,2025/4/24
86,301090,华润材料,-0.385,18055254020,4.820145894,-17.0994,-569561863.2,-249.44,-283.8706,4.379229529,-8.3,0.173436386,-0.752545404,化学原料,2025/4/24
87,301068,大地海洋,0.79,946810650.9,0.992619142,-6.3997,85969624.2,54.99,168.6004,8.029854355,10.24,1.152854513,16.44829677,环保行业,2025/4/24
88,301065,本立科技,0.62,708834125.5,1.567729262,6.4378,64571985.96,8.31,58.9357,12.28160029,5.02,2.226564807,17.01340681,化学原料,2025/4/24
89,301048,金鹰重工,0.36,3093338736,1.133546261,86.5847,190595653,-35.54,291.0832,4.963978901,7.44,0.322206915,16.10030651,交运设备,2025/4/24
90,301046,能辉科技,0.35,1097296501,85.73569857,-24.9563,52541237.48,-9.71,-93.7617,5.468924438,6.22,-1.074134491,16.53489038,光伏设备,2025/4/24
91,301045,天禄科技,0.25,654085049.9,9.668931246,-8.7232,27115969.83,206.84,45.8322,9.016118176,2.75,-0.145414681,19.20968357,光学光电子,2025/4/24
92,301040,中环海陆,-1.5359,578662643.1,-7.357358231,-10.5831,-153590983,-377.13,-184.3843,7.968183831,-15.96,0.417838194,-4.117673709,风电设备,2025/4/24
93,301022,海泰科,0.1879,678851952.9,18.58953094,-15.0503,15756018.03,-32.34,-164.5074,11.28149371,1.7,1.017605608,17.0651473,汽车零部件,2025/4/24
94,301019,宁波色母,0.6,493084102.4,9.275770968,-1.058,100503295.2,-1.41,17.2307,6.775614061,9.13,0.511262586,33.53277552,塑料制品,2025/4/24
95,301015,百洋医药,1.32,8094458069,-1.956633339,-23.4849,691593321.9,-2.87,-81.4194,4.3285279,26.94,1.548364737,35.50328386,医药商业,2025/4/24
96,300970,华绿生物,-0.41,1032111560,3.602631426,8.6859,-47565525.06,-256.73,-228.1578,12.412587,-3.19,1.146385662,5.958892097,农牧饲渔,2025/4/24
97,300966,共同药业,-0.24,536595592,-5.261945303,30.1278,-27591132.24,-219.94,-48.4905,7.170818182,-2.94,-0.178596044,19.67259417,化学制药,2025/4/24
